GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.IncidenteAbdRequest,0,21,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.IncidenteAbdResponse,0,30,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.ProgramacionRequest,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.AlertaResponse,0,21,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.ProgramacionResponse,0,36,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.ResumenResponse,27,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.UnidadResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.RolResponse,12,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.RutaAbdResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.RutaAbdRequest,0,12,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.CiudadResponse,15,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.CatalogosResponse,15,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.ConteoResponse,9,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.TopRutaResponse,12,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.UnidadRequest,0,21,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.TerminalResponse,15,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.abd.dto,AbdDtos.ProvinciaResponse,9,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.dto,RutaResponse,0,36,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,AsignacionRutaResponse,0,45,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,VehiculoResponse,0,42,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,UsuarioResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,ConductorRequest,0,30,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,UsuarioRequest,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,ErrorResponse,0,21,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,ConductorResponse,0,45,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,VerificarEmailRequest,0,9,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,IncidenteResponse,0,39,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,EmailRequest,0,6,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RutaRequest,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RestablecerContrasenaRequest,0,12,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,AsignacionRutaRequest,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,VehiculoRequest,0,30,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,SesionResponse,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,IncidenteRequest,0,27,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,AuthResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.controller,AlertaAbdController,1,43,1,5,0,6,1,4,0,2
,ec.edu.uteq.sgroas.abd.controller,CatalogoAbdController,5,0,0,0,1,0,1,0,1,0
,ec.edu.uteq.sgroas.abd.controller,ReporteAbdController,35,0,0,0,7,0,7,0,7,0
,ec.edu.uteq.sgroas.abd.controller,ProgramacionAbdController,33,0,0,0,5,0,4,0,4,0
,ec.edu.uteq.sgroas.abd.controller,UnidadAbdController,36,0,0,0,6,0,5,0,5,0
,ec.edu.uteq.sgroas.abd.controller,RutaAbdController,35,0,0,0,6,0,5,0,5,0
,ec.edu.uteq.sgroas.abd.controller,IncidenteAbdController,31,0,0,0,5,0,4,0,4,0
,ec.edu.uteq.sgroas.abd.controller,ConductorAbdController,0,27,0,6,0,5,0,4,0,1
,ec.edu.uteq.sgroas.exception,CorreoNoVerificadoException,0,4,0,0,0,2,0,1,0,1
,ec.edu.uteq.sgroas.exception,GlobalExceptionHandler,21,153,0,0,6,42,1,8,1,8
,ec.edu.uteq.sgroas.entity,EstadoRuta,0,15,0,0,0,3,0,1,0,1
,ec.edu.uteq.sgroas.entity,EstadoConductor,0,21,0,0,0,4,0,1,0,1
,ec.edu.uteq.sgroas.entity,TipoIncidente,0,33,0,0,0,6,0,1,0,1
,ec.edu.uteq.sgroas.entity,EstadoVehiculo,0,21,0,0,0,4,0,1,0,1
,ec.edu.uteq.sgroas.entity,Rol,0,27,0,0,0,5,0,1,0,1
,ec.edu.uteq.sgroas.entity,EstadoIncidente,0,27,0,0,0,5,0,1,0,1
,ec.edu.uteq.sgroas.entity,GravedadIncidente,0,27,0,0,0,5,0,1,0,1
,ec.edu.uteq.sgroas.entity,EstadoAsignacion,0,21,0,0,0,4,0,1,0,1
,ec.edu.uteq.sgroas.config,CacheConfig,0,35,0,0,0,14,0,2,0,2
,ec.edu.uteq.sgroas.config,OpenApiConfig,0,38,0,0,0,12,0,2,0,2
,ec.edu.uteq.sgroas.config,SecurityConfig,0,553,0,0,0,53,0,14,0,14
,ec.edu.uteq.sgroas.config,RedisConfig,0,25,0,0,0,6,0,3,0,3
,ec.edu.uteq.sgroas.config,RenderDataSourceConfig,24,24,0,0,6,7,1,2,1,2
,ec.edu.uteq.sgroas,SgroasApplication,5,3,0,0,2,1,1,1,1,1
,ec.edu.uteq.sgroas.security,JwtService,0,126,1,3,0,31,1,12,0,11
,ec.edu.uteq.sgroas.security,LoginRateLimiter,11,88,1,9,0,17,1,9,0,5
,ec.edu.uteq.sgroas.security,CustomUserDetailsService,0,30,0,0,0,7,0,2,0,2
,ec.edu.uteq.sgroas.security,JwtAuthenticationFilter,2,130,4,18,0,32,4,9,0,2
,ec.edu.uteq.sgroas.controller,AuthController,2,404,8,32,0,102,8,25,0,13
,ec.edu.uteq.sgroas.controller,ConductorController,0,37,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.controller,IncidenteController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.controller,VehiculoController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.controller,UsuarioController,7,37,0,0,2,7,1,5,1,5
,ec.edu.uteq.sgroas.controller,ReporteController,0,40,0,0,0,7,0,7,0,7
,ec.edu.uteq.sgroas.controller,AsignacionRutaController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.controller,RutaController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.service,CodigoVerificacionService,7,198,0,10,2,38,0,12,0,7
,ec.edu.uteq.sgroas.service,VehiculoService,0,238,1,5,0,67,1,12,0,10
,ec.edu.uteq.sgroas.service,AuthService,20,255,1,5,1,58,4,16,3,14
,ec.edu.uteq.sgroas.service,EmailService,24,187,2,12,8,34,2,13,0,8
,ec.edu.uteq.sgroas.service,RutaService,0,220,1,5,0,61,1,12,0,10
,ec.edu.uteq.sgroas.service,ReporteService,541,142,0,2,18,7,12,4,12,3
,ec.edu.uteq.sgroas.service,ConductorService,0,299,2,18,0,79,2,20,0,12
,ec.edu.uteq.sgroas.service,IncidenteService,5,257,0,0,0,71,1,13,1,13
,ec.edu.uteq.sgroas.service,TokenService,0,89,0,4,0,24,0,7,0,5
,ec.edu.uteq.sgroas.service,AsignacionRutaService,24,280,0,0,3,75,4,12,4,12
,ec.edu.uteq.sgroas.service,UsuarioService,5,249,1,13,1,51,1,18,0,12
,ec.edu.uteq.sgroas.service,CodigoVerificacionService.Tipo,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.abd.service,ProgramacionAbdService,23,328,5,29,0,59,8,22,3,10
,ec.edu.uteq.sgroas.abd.service,ReporteAbdService,161,0,0,0,30,0,13,0,13,0
,ec.edu.uteq.sgroas.abd.service,UnidadAbdService,8,275,2,34,0,51,3,25,1,9
,ec.edu.uteq.sgroas.abd.service,RutaAbdService,0,187,0,12,0,35,0,14,0,8
