GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,ec.edu.uteq.sgroas.entity,EstadoRuta,0,15,0,0,0,3,0,1,0,1
,ec.edu.uteq.sgroas.entity,EstadoConductor,0,21,0,0,0,4,0,1,0,1
,ec.edu.uteq.sgroas.entity,GravedadIncidente,0,27,0,0,0,5,0,1,0,1
,ec.edu.uteq.sgroas.entity,TipoIncidente,0,33,0,0,0,6,0,1,0,1
,ec.edu.uteq.sgroas.entity,EstadoAsignacion,0,21,0,0,0,4,0,1,0,1
,ec.edu.uteq.sgroas.entity,EstadoVehiculo,0,21,0,0,0,4,0,1,0,1
,ec.edu.uteq.sgroas.entity,Rol,0,21,0,0,0,4,0,1,0,1
,ec.edu.uteq.sgroas.entity,EstadoIncidente,0,27,0,0,0,5,0,1,0,1
,ec.edu.uteq.sgroas.dto,UsuarioRequest,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,ErrorResponse,0,21,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,ConductorResponse,0,45,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,IncidenteResponse,0,39,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RegisterRequest,0,15,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RutaResponse,0,36,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,AsignacionRutaResponse,0,45,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RutaRequest,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,VehiculoResponse,0,42,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,AsignacionRutaRequest,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,VehiculoRequest,0,30,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,IncidenteRequest,0,27,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,UsuarioResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,AuthResponse,0,24,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.dto,ConductorRequest,0,30,0,0,0,1,0,1,0,1
,ec.edu.uteq.sgroas.config,OpenApiConfig,0,38,0,0,0,12,0,2,0,2
,ec.edu.uteq.sgroas.config,SecurityConfig,0,184,0,0,0,35,0,14,0,14
,ec.edu.uteq.sgroas.config,CacheConfig,0,35,0,0,0,14,0,2,0,2
,ec.edu.uteq.sgroas.config,RedisConfig,0,25,0,0,0,6,0,3,0,3
,ec.edu.uteq.sgroas.exception,GlobalExceptionHandler,0,113,0,0,0,30,0,6,0,6
,ec.edu.uteq.sgroas,SgroasApplication,5,3,0,0,2,1,1,1,1,1
,ec.edu.uteq.sgroas.security,JwtAuthenticationFilter,2,130,4,18,0,32,4,9,0,2
,ec.edu.uteq.sgroas.security,JwtService,0,126,1,3,0,31,1,12,0,11
,ec.edu.uteq.sgroas.security,LoginRateLimiter,11,88,1,9,0,17,1,9,0,5
,ec.edu.uteq.sgroas.security,CustomUserDetailsService,0,30,0,0,0,7,0,2,0,2
,ec.edu.uteq.sgroas.controller,IncidenteController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.controller,VehiculoController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.controller,UsuarioController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.controller,AuthController,0,141,0,4,0,44,0,8,0,6
,ec.edu.uteq.sgroas.controller,ReporteController,0,40,0,0,0,7,0,7,0,7
,ec.edu.uteq.sgroas.controller,ConductorController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.controller,AsignacionRutaController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.controller,RutaController,0,36,0,0,0,7,0,5,0,5
,ec.edu.uteq.sgroas.service,RutaService,0,220,1,5,0,61,1,12,0,10
,ec.edu.uteq.sgroas.service,ReporteService,683,0,2,0,25,0,16,0,15,0
,ec.edu.uteq.sgroas.service,ConductorService,0,297,2,14,0,80,2,19,0,13
,ec.edu.uteq.sgroas.service,VehiculoService,0,238,1,5,0,67,1,12,0,10
,ec.edu.uteq.sgroas.service,IncidenteService,5,257,0,0,0,71,1,13,1,13
,ec.edu.uteq.sgroas.service,TokenService,0,89,0,4,0,24,0,7,0,5
,ec.edu.uteq.sgroas.service,AsignacionRutaService,15,283,0,0,0,77,3,13,3,13
,ec.edu.uteq.sgroas.service,AuthService,5,156,0,4,0,39,1,9,1,7
,ec.edu.uteq.sgroas.service,UsuarioService,0,173,2,4,0,36,2,10,0,9
